ID condition type block concept sound concept_dist sound_dist answer correct gender age native problem
subject_1 joint Test_pre NA   NA NA 1 NA M 20-29 yes No
subject_1 joint Test_pre NA   NA NA 0 NA M 20-29 yes No
subject_1 0 Test 1 tree asa different different 1 0 M 20-29 yes No
subject_1 0 Test 1 tree asa different different 1 1 M 20-29 yes No
subject_1 0 Test 1 tree asa different different 0 0 M 20-29 yes No
subject_1 0 Test 1 tree asa different different 0 1 M 20-29 yes No
subject_1 0 Test 2 tree asa different different 1 1 M 20-29 yes No
subject_1 0 Test 2 tree asa different different 0 0 M 20-29 yes No
subject_1 0 Test 2 tree asa different different 1 0 M 20-29 yes No
subject_1 0 Test 2 tree asa different different 0 1 M 20-29 yes No
subject_1 1 Test 1 bug in_a_d_aa similar similar 0 0 M 20-29 yes No
subject_1 1 Test 1 bug in_a_d_aa similar similar 1 0 M 20-29 yes No
subject_1 1 Test 1 bug in_a_d_aa similar similar 1 1 M 20-29 yes No
subject_1 1 Test 1 bug in_a_d_aa similar similar 0 1 M 20-29 yes No
subject_1 1 Test 2 bug in_a_d_aa similar similar 1 0 M 20-29 yes No
subject_1 1 Test 2 bug in_a_d_aa similar similar 0 0 M 20-29 yes No
subject_1 1 Test 2 bug in_a_d_aa similar similar 0 1 M 20-29 yes No
subject_1 1 Test 2 bug in_a_d_aa similar similar 0 1 M 20-29 yes No
subject_1 2 Test 1 flower aba catch catch 1 0 M 20-29 yes No
subject_1 2 Test 1 flower aba catch catch 0 0 M 20-29 yes No
subject_1 2 Test 1 flower aba catch catch 0 1 M 20-29 yes No
subject_1 2 Test 1 flower aba catch catch 1 1 M 20-29 yes No
subject_1 2 Test 2 flower aba catch catch 1 1 M 20-29 yes No
subject_1 2 Test 2 flower aba catch catch 1 0 M 20-29 yes No
subject_1 2 Test 2 flower aba catch catch 0 0 M 20-29 yes No
subject_1 2 Test 2 flower aba catch catch 0 1 M 20-29 yes No
subject_1 3 Test 1 fish aka different similar 1 1 M 20-29 yes No
subject_1 3 Test 1 fish aka different similar 1 1 M 20-29 yes No
subject_1 3 Test 1 fish aka different similar 0 1 M 20-29 yes No
subject_1 3 Test 1 fish aka different similar 0 1 M 20-29 yes No
subject_1 3 Test 2 fish aka different similar 0 1 M 20-29 yes No
subject_1 3 Test 2 fish aka different similar 1 1 M 20-29 yes No
subject_1 3 Test 2 fish aka different similar 1 0 M 20-29 yes No
subject_1 3 Test 2 fish aka different similar 0 0 M 20-29 yes No
subject_1 4 Test 1 bird ar_a_X_a similar different 0 1 M 20-29 yes No
subject_1 4 Test 1 bird ar_a_X_a similar different 1 0 M 20-29 yes No
subject_1 4 Test 1 bird ar_a_X_a similar different 0 0 M 20-29 yes No
subject_1 4 Test 1 bird ar_a_X_a similar different 1 1 M 20-29 yes No
subject_1 4 Test 2 bird ar_a_X_a similar different 0 0 M 20-29 yes No
subject_1 4 Test 2 bird ar_a_X_a similar different 1 0 M 20-29 yes No
subject_1 4 Test 2 bird ar_a_X_a similar different 0 0 M 20-29 yes No
subject_1 4 Test 2 bird ar_a_X_a similar different 1 0 M 20-29 yes No
subject_2 joint Test_pre NA   NA NA 0 NA M 20-29 yes No
subject_2 joint Test_pre NA   NA NA 1 NA M 20-29 yes No
subject_2 0 Test 1 tree aka similar different 0 0 M 20-29 yes No
subject_2 0 Test 1 tree aka similar different 0 0 M 20-29 yes No
subject_2 0 Test 1 tree aka similar different 0 0 M 20-29 yes No
subject_2 0 Test 1 tree aka similar different 0 0 M 20-29 yes No
subject_2 0 Test 2 tree aka similar different 1 1 M 20-29 yes No
subject_2 0 Test 2 tree aka similar different 0 0 M 20-29 yes No
subject_2 0 Test 2 tree aka similar different 1 1 M 20-29 yes No
subject_2 0 Test 2 tree aka similar different 0 0 M 20-29 yes No
subject_2 1 Test 1 fish ar_a_X_a different similar 0 0 M 20-29 yes No
subject_2 1 Test 1 fish ar_a_X_a different similar 1 1 M 20-29 yes No
subject_2 1 Test 1 fish ar_a_X_a different similar 0 0 M 20-29 yes No
subject_2 1 Test 1 fish ar_a_X_a different similar 1 1 M 20-29 yes No
subject_2 1 Test 2 fish ar_a_X_a different similar 0 0 M 20-29 yes No
subject_2 1 Test 2 fish ar_a_X_a different similar 0 0 M 20-29 yes No
subject_2 1 Test 2 fish ar_a_X_a different similar 1 1 M 20-29 yes No
subject_2 1 Test 2 fish ar_a_X_a different similar 1 1 M 20-29 yes No
subject_2 2 Test 1 flower aba catch catch 0 0 M 20-29 yes No
subject_2 2 Test 1 flower aba catch catch 1 1 M 20-29 yes No
subject_2 2 Test 1 flower aba catch catch 0 0 M 20-29 yes No
subject_2 2 Test 1 flower aba catch catch 1 1 M 20-29 yes No
subject_2 2 Test 2 flower aba catch catch 0 0 M 20-29 yes No
subject_2 2 Test 2 flower aba catch catch 0 0 M 20-29 yes No
subject_2 2 Test 2 flower aba catch catch 0 0 M 20-29 yes No
subject_2 2 Test 2 flower aba catch catch 0 0 M 20-29 yes No
subject_2 3 Test 1 bird asa different different 1 1 M 20-29 yes No
subject_2 3 Test 1 bird asa different different 1 1 M 20-29 yes No
subject_2 3 Test 1 bird asa different different 1 1 M 20-29 yes No
subject_2 3 Test 1 bird asa different different 1 1 M 20-29 yes No
subject_2 3 Test 2 bird asa different different 0 0 M 20-29 yes No
subject_2 3 Test 2 bird asa different different 0 0 M 20-29 yes No
subject_2 3 Test 2 bird asa different different 0 0 M 20-29 yes No
subject_2 3 Test 2 bird asa different different 0 0 M 20-29 yes No
subject_2 4 Test 1 bug in_a_d_aa similar similar 0 0 M 20-29 yes No
subject_2 4 Test 1 bug in_a_d_aa similar similar 1 1 M 20-29 yes No
subject_2 4 Test 1 bug in_a_d_aa similar similar 0 0 M 20-29 yes No
subject_2 4 Test 1 bug in_a_d_aa similar similar 1 1 M 20-29 yes No
subject_2 4 Test 2 bug in_a_d_aa similar similar 0 0 M 20-29 yes No
subject_2 4 Test 2 bug in_a_d_aa similar similar 0 0 M 20-29 yes No
subject_2 4 Test 2 bug in_a_d_aa similar similar 0 0 M 20-29 yes No
subject_2 4 Test 2 bug in_a_d_aa similar similar 0 0 M 20-29 yes No
subject_3 joint Test_pre NA   NA NA 0 NA F 40-49 yes No
subject_3 joint Test_pre NA   NA NA 1 NA F 40-49 yes No
subject_3 0 Test 1 bug asa similar different 0 0 F 40-49 yes No
subject_3 0 Test 1 bug asa similar different 1 0 F 40-49 yes No
subject_3 0 Test 1 bug asa similar different 1 0 F 40-49 yes No
subject_3 0 Test 1 bug asa similar different 0 0 F 40-49 yes No
subject_3 0 Test 2 bug asa similar different 0 0 F 40-49 yes No
subject_3 0 Test 2 bug asa similar different 1 0 F 40-49 yes No
subject_3 0 Test 2 bug asa similar different 1 0 F 40-49 yes No
subject_3 0 Test 2 bug asa similar different 0 0 F 40-49 yes No
subject_3 1 Test 1 tree in_a_d_aa different similar 0 1 F 40-49 yes No
subject_3 1 Test 1 tree in_a_d_aa different similar 1 1 F 40-49 yes No
subject_3 1 Test 1 tree in_a_d_aa different similar 1 1 F 40-49 yes No
subject_3 1 Test 1 tree in_a_d_aa different similar 0 1 F 40-49 yes No
subject_3 1 Test 2 tree in_a_d_aa different similar 0 1 F 40-49 yes No
subject_3 1 Test 2 tree in_a_d_aa different similar 0 0 F 40-49 yes No
subject_3 1 Test 2 tree in_a_d_aa different similar 1 1 F 40-49 yes No
subject_3 1 Test 2 tree in_a_d_aa different similar 1 0 F 40-49 yes No
subject_3 2 Test 1 flower aba catch catch 0 0 F 40-49 yes No
subject_3 2 Test 1 flower aba catch catch 1 1 F 40-49 yes No
subject_3 2 Test 1 flower aba catch catch 0 0 F 40-49 yes No
subject_3 2 Test 1 flower aba catch catch 1 1 F 40-49 yes No
subject_3 2 Test 2 flower aba catch catch 1 1 F 40-49 yes No
subject_3 2 Test 2 flower aba catch catch 0 0 F 40-49 yes No
subject_3 2 Test 2 flower aba catch catch 0 0 F 40-49 yes No
subject_3 2 Test 2 flower aba catch catch 1 1 F 40-49 yes No
subject_3 3 Test 1 fish aka different different 0 0 F 40-49 yes No
subject_3 3 Test 1 fish aka different different 0 0 F 40-49 yes No
subject_3 3 Test 1 fish aka different different 0 0 F 40-49 yes No
subject_3 3 Test 1 fish aka different different 0 0 F 40-49 yes No
subject_3 3 Test 2 fish aka different different 1 1 F 40-49 yes No
subject_3 3 Test 2 fish aka different different 1 1 F 40-49 yes No
subject_3 3 Test 2 fish aka different different 1 1 F 40-49 yes No
subject_3 3 Test 2 fish aka different different 1 1 F 40-49 yes No
subject_3 4 Test 1 bird ar_a_X_a similar similar 1 0 F 40-49 yes No
subject_3 4 Test 1 bird ar_a_X_a similar similar 0 0 F 40-49 yes No
subject_3 4 Test 1 bird ar_a_X_a similar similar 1 0 F 40-49 yes No
subject_3 4 Test 1 bird ar_a_X_a similar similar 0 0 F 40-49 yes No
subject_3 4 Test 2 bird ar_a_X_a similar similar 0 1 F 40-49 yes No
subject_3 4 Test 2 bird ar_a_X_a similar similar 1 0 F 40-49 yes No
subject_3 4 Test 2 bird ar_a_X_a similar similar 1 1 F 40-49 yes No
subject_3 4 Test 2 bird ar_a_X_a similar similar 0 0 F 40-49 yes No
subject_4 joint Test_pre NA   NA NA 0 NA F 30-39 yes No
subject_4 joint Test_pre NA   NA NA 1 NA F 30-39 yes No
subject_4 0 Test 1 bird aka similar different 1 0 F 30-39 yes No
subject_4 0 Test 1 bird aka similar different 0 0 F 30-39 yes No
subject_4 0 Test 1 bird aka similar different 0 1 F 30-39 yes No
subject_4 0 Test 1 bird aka similar different 1 1 F 30-39 yes No
subject_4 0 Test 2 bird aka similar different 1 0 F 30-39 yes No
subject_4 0 Test 2 bird aka similar different 0 0 F 30-39 yes No
subject_4 0 Test 2 bird aka similar different 0 1 F 30-39 yes No
subject_4 0 Test 2 bird aka similar different 1 1 F 30-39 yes No
subject_4 1 Test 1 fish ar_a_X_a different similar 1 0 F 30-39 yes No
subject_4 1 Test 1 fish ar_a_X_a different similar 0 1 F 30-39 yes No
subject_4 1 Test 1 fish ar_a_X_a different similar 1 0 F 30-39 yes No
subject_4 1 Test 1 fish ar_a_X_a different similar 0 1 F 30-39 yes No
subject_4 1 Test 2 fish ar_a_X_a different similar 1 1 F 30-39 yes No
subject_4 1 Test 2 fish ar_a_X_a different similar 1 1 F 30-39 yes No
subject_4 1 Test 2 fish ar_a_X_a different similar 1 1 F 30-39 yes No
subject_4 1 Test 2 fish ar_a_X_a different similar 1 1 F 30-39 yes No
subject_4 2 Test 1 flower aba catch catch 0 0 F 30-39 yes No
subject_4 2 Test 1 flower aba catch catch 1 1 F 30-39 yes No
subject_4 2 Test 1 flower aba catch catch 0 0 F 30-39 yes No
