ID condition type block concept sound concept_dist sound_dist answer correct gender age native other problem
subject_1 joint Test_pre NA   NA NA 0 NA M 40-49 yes No No
subject_1 joint Test_pre NA   NA NA 1 NA M 40-49 yes No No
subject_1 0 Test 1 bug aka different different 1 1 M 40-49 yes No No
subject_1 0 Test 1 bug aka different different 0 0 M 40-49 yes No No
subject_1 0 Test 1 bug aka different different 0 0 M 40-49 yes No No
subject_1 0 Test 1 bug aka different different 1 1 M 40-49 yes No No
subject_1 0 Test 2 bug aka different different 1 1 M 40-49 yes No No
subject_1 0 Test 2 bug aka different different 1 1 M 40-49 yes No No
subject_1 0 Test 2 bug aka different different 0 0 M 40-49 yes No No
subject_1 0 Test 2 bug aka different different 0 0 M 40-49 yes No No
subject_1 1 Test 1 bird in_a_d_aa similar similar 0 0 M 40-49 yes No No
subject_1 1 Test 1 bird in_a_d_aa similar similar 1 0 M 40-49 yes No No
subject_1 1 Test 1 bird in_a_d_aa similar similar 1 1 M 40-49 yes No No
subject_1 1 Test 1 bird in_a_d_aa similar similar 0 1 M 40-49 yes No No
subject_1 1 Test 2 bird in_a_d_aa similar similar 1 1 M 40-49 yes No No
subject_1 1 Test 2 bird in_a_d_aa similar similar 0 1 M 40-49 yes No No
subject_1 1 Test 2 bird in_a_d_aa similar similar 1 1 M 40-49 yes No No
subject_1 1 Test 2 bird in_a_d_aa similar similar 1 1 M 40-49 yes No No
subject_1 2 Test 1 flower asa catch catch 1 1 M 40-49 yes No No
subject_1 2 Test 1 flower asa catch catch 1 1 M 40-49 yes No No
subject_1 2 Test 1 flower asa catch catch 1 1 M 40-49 yes No No
subject_1 2 Test 1 flower asa catch catch 1 1 M 40-49 yes No No
subject_1 2 Test 2 flower asa catch catch 1 1 M 40-49 yes No No
subject_1 2 Test 2 flower asa catch catch 1 1 M 40-49 yes No No
subject_1 2 Test 2 flower asa catch catch 0 0 M 40-49 yes No No
subject_1 2 Test 2 flower asa catch catch 0 0 M 40-49 yes No No
subject_1 3 Test 1 fish aba similar different 0 1 M 40-49 yes No No
subject_1 3 Test 1 fish aba similar different 1 0 M 40-49 yes No No
subject_1 3 Test 1 fish aba similar different 0 0 M 40-49 yes No No
subject_1 3 Test 1 fish aba similar different 1 1 M 40-49 yes No No
subject_1 3 Test 2 fish aba similar different 1 0 M 40-49 yes No No
subject_1 3 Test 2 fish aba similar different 1 0 M 40-49 yes No No
subject_1 3 Test 2 fish aba similar different 1 0 M 40-49 yes No No
subject_1 3 Test 2 fish aba similar different 1 0 M 40-49 yes No No
subject_1 4 Test 1 tree ar_a_X_a different similar 0 0 M 40-49 yes No No
subject_1 4 Test 1 tree ar_a_X_a different similar 0 0 M 40-49 yes No No
subject_1 4 Test 1 tree ar_a_X_a different similar 0 0 M 40-49 yes No No
subject_1 4 Test 1 tree ar_a_X_a different similar 0 0 M 40-49 yes No No
subject_1 4 Test 2 tree ar_a_X_a different similar 0 0 M 40-49 yes No No
subject_1 4 Test 2 tree ar_a_X_a different similar 1 1 M 40-49 yes No No
subject_1 4 Test 2 tree ar_a_X_a different similar 1 1 M 40-49 yes No No
subject_1 4 Test 2 tree ar_a_X_a different similar 0 0 M 40-49 yes No No
subject_2 joint Test_pre NA   NA NA 0 NA F 30-39 yes No No
subject_2 joint Test_pre NA   NA NA 1 NA F 30-39 yes No No
subject_2 0 Test 1 fish ar_a_X_a different similar 0 0 F 30-39 yes No No
subject_2 0 Test 1 fish ar_a_X_a different similar 1 1 F 30-39 yes No No
subject_2 0 Test 1 fish ar_a_X_a different similar 0 0 F 30-39 yes No No
subject_2 0 Test 1 fish ar_a_X_a different similar 1 1 F 30-39 yes No No
subject_2 0 Test 2 fish ar_a_X_a different similar 0 0 F 30-39 yes No No
subject_2 0 Test 2 fish ar_a_X_a different similar 0 0 F 30-39 yes No No
subject_2 0 Test 2 fish ar_a_X_a different similar 0 0 F 30-39 yes No No
subject_2 0 Test 2 fish ar_a_X_a different similar 0 0 F 30-39 yes No No
subject_2 1 Test 1 tree aka similar different 0 0 F 30-39 yes No No
subject_2 1 Test 1 tree aka similar different 1 1 F 30-39 yes No No
subject_2 1 Test 1 tree aka similar different 1 1 F 30-39 yes No No
subject_2 1 Test 1 tree aka similar different 0 0 F 30-39 yes No No
subject_2 1 Test 2 tree aka similar different 0 0 F 30-39 yes No No
subject_2 1 Test 2 tree aka similar different 0 0 F 30-39 yes No No
subject_2 1 Test 2 tree aka similar different 1 1 F 30-39 yes No No
subject_2 1 Test 2 tree aka similar different 1 1 F 30-39 yes No No
subject_2 2 Test 1 flower asa catch catch 0 0 F 30-39 yes No No
subject_2 2 Test 1 flower asa catch catch 0 0 F 30-39 yes No No
subject_2 2 Test 1 flower asa catch catch 0 0 F 30-39 yes No No
subject_2 2 Test 1 flower asa catch catch 0 0 F 30-39 yes No No
subject_2 2 Test 2 flower asa catch catch 1 1 F 30-39 yes No No
subject_2 2 Test 2 flower asa catch catch 0 0 F 30-39 yes No No
subject_2 2 Test 2 flower asa catch catch 1 1 F 30-39 yes No No
subject_2 2 Test 2 flower asa catch catch 0 0 F 30-39 yes No No
subject_2 3 Test 1 bird in_a_d_aa similar similar 0 0 F 30-39 yes No No
subject_2 3 Test 1 bird in_a_d_aa similar similar 0 0 F 30-39 yes No No
subject_2 3 Test 1 bird in_a_d_aa similar similar 0 0 F 30-39 yes No No
subject_2 3 Test 1 bird in_a_d_aa similar similar 0 0 F 30-39 yes No No
subject_2 3 Test 2 bird in_a_d_aa similar similar 0 0 F 30-39 yes No No
subject_2 3 Test 2 bird in_a_d_aa similar similar 0 1 F 30-39 yes No No
subject_2 3 Test 2 bird in_a_d_aa similar similar 0 1 F 30-39 yes No No
subject_2 3 Test 2 bird in_a_d_aa similar similar 0 0 F 30-39 yes No No
subject_2 4 Test 1 bug aba different different 1 1 F 30-39 yes No No
subject_2 4 Test 1 bug aba different different 0 0 F 30-39 yes No No
subject_2 4 Test 1 bug aba different different 0 0 F 30-39 yes No No
subject_2 4 Test 1 bug aba different different 1 1 F 30-39 yes No No
subject_2 4 Test 2 bug aba different different 0 0 F 30-39 yes No No
subject_2 4 Test 2 bug aba different different 0 0 F 30-39 yes No No
subject_2 4 Test 2 bug aba different different 0 0 F 30-39 yes No No
subject_2 4 Test 2 bug aba different different 0 0 F 30-39 yes No No
subject_3 joint Test_pre NA   NA NA 0 NA F 30-39 yes No No
subject_3 joint Test_pre NA   NA NA 1 NA F 30-39 yes No No
subject_3 0 Test 1 bug in_a_d_aa similar similar 0 1 F 30-39 yes No No
subject_3 0 Test 1 bug in_a_d_aa similar similar 1 1 F 30-39 yes No No
subject_3 0 Test 1 bug in_a_d_aa similar similar 1 1 F 30-39 yes No No
subject_3 0 Test 1 bug in_a_d_aa similar similar 0 1 F 30-39 yes No No
subject_3 0 Test 2 bug in_a_d_aa similar similar 1 1 F 30-39 yes No No
subject_3 0 Test 2 bug in_a_d_aa similar similar 1 1 F 30-39 yes No No
subject_3 0 Test 2 bug in_a_d_aa similar similar 0 1 F 30-39 yes No No
subject_3 0 Test 2 bug in_a_d_aa similar similar 0 1 F 30-39 yes No No
subject_3 1 Test 1 bird aka different different 1 0 F 30-39 yes No No
subject_3 1 Test 1 bird aka different different 0 0 F 30-39 yes No No
subject_3 1 Test 1 bird aka different different 0 0 F 30-39 yes No No
subject_3 1 Test 1 bird aka different different 1 0 F 30-39 yes No No
subject_3 1 Test 2 bird aka different different 0 0 F 30-39 yes No No
subject_3 1 Test 2 bird aka different different 1 0 F 30-39 yes No No
subject_3 1 Test 2 bird aka different different 0 1 F 30-39 yes No No
subject_3 1 Test 2 bird aka different different 1 1 F 30-39 yes No No
subject_3 2 Test 1 flower asa catch catch 1 1 F 30-39 yes No No
subject_3 2 Test 1 flower asa catch catch 1 1 F 30-39 yes No No
subject_3 2 Test 1 flower asa catch catch 0 0 F 30-39 yes No No
subject_3 2 Test 1 flower asa catch catch 0 0 F 30-39 yes No No
subject_3 2 Test 2 flower asa catch catch 1 1 F 30-39 yes No No
subject_3 2 Test 2 flower asa catch catch 0 0 F 30-39 yes No No
subject_3 2 Test 2 flower asa catch catch 1 1 F 30-39 yes No No
