ID type condition block concept_dist sound_dist item_object item_sound answer correct code gender age
subject_1 Test_pre joint NA NA NA NA NA 0 NA eliz-3/1-01 M 4y8m
subject_1 Test_pre joint NA NA NA NA NA 0 NA eliz-3/1-01 M 4y8m
subject_1 Test_pre joint NA NA NA NA NA 1 NA eliz-3/1-01 M 4y8m
subject_1 Test_pre joint NA NA NA NA NA 1 NA eliz-3/1-01 M 4y8m
subject_1 Test 0 1 different different bug neem 0 0 eliz-3/1-01 M 4y8m
subject_1 Test 0 1 different different bug neem 0 0 eliz-3/1-01 M 4y8m
subject_1 Test 0 1 different different bug neem 1 1 eliz-3/1-01 M 4y8m
subject_1 Test 0 1 different different bug neem 1 1 eliz-3/1-01 M 4y8m
subject_1 Test 0 2 different different bug neem 1 1 eliz-3/1-01 M 4y8m
subject_1 Test 0 2 different different bug neem 1 1 eliz-3/1-01 M 4y8m
subject_1 Test 0 2 different different bug neem 0 0 eliz-3/1-01 M 4y8m
subject_1 Test 0 2 different different bug neem 0 0 eliz-3/1-01 M 4y8m
subject_1 Test 1 1 similar similar bird aba 1 1 eliz-3/1-01 M 4y8m
subject_1 Test 1 1 similar similar bird aba 1 1 eliz-3/1-01 M 4y8m
subject_1 Test 1 1 similar similar bird aba 1 1 eliz-3/1-01 M 4y8m
subject_1 Test 1 1 similar similar bird aba 1 1 eliz-3/1-01 M 4y8m
subject_1 Test 1 2 similar similar bird aba 0 0 eliz-3/1-01 M 4y8m
subject_1 Test 1 2 similar similar bird aba 1 0 eliz-3/1-01 M 4y8m
subject_1 Test 1 2 similar similar bird aba 0 0 eliz-3/1-01 M 4y8m
subject_1 Test 1 2 similar similar bird aba 1 0 eliz-3/1-01 M 4y8m
subject_1 Test 2 1 catch catch flower nak 0 1 eliz-3/1-01 M 4y8m
subject_1 Test 2 1 catch catch flower nak 1 1 eliz-3/1-01 M 4y8m
subject_1 Test 2 1 catch catch flower nak 0 1 eliz-3/1-01 M 4y8m
subject_1 Test 2 1 catch catch flower nak 1 1 eliz-3/1-01 M 4y8m
subject_1 Test 2 2 catch catch flower nak 0 1 eliz-3/1-01 M 4y8m
subject_1 Test 2 2 catch catch flower nak 0 1 eliz-3/1-01 M 4y8m
subject_1 Test 2 2 catch catch flower nak 1 0 eliz-3/1-01 M 4y8m
subject_1 Test 2 2 catch catch flower nak 1 0 eliz-3/1-01 M 4y8m
subject_1 Test 3 1 similar different fish zem 0 0 eliz-3/1-01 M 4y8m
subject_1 Test 3 1 similar different fish zem 0 0 eliz-3/1-01 M 4y8m
subject_1 Test 3 1 similar different fish zem 0 0 eliz-3/1-01 M 4y8m
subject_1 Test 3 1 similar different fish zem 0 0 eliz-3/1-01 M 4y8m
subject_1 Test 3 2 similar different fish zem 1 1 eliz-3/1-01 M 4y8m
subject_1 Test 3 2 similar different fish zem 0 0 eliz-3/1-01 M 4y8m
subject_1 Test 3 2 similar different fish zem 0 0 eliz-3/1-01 M 4y8m
subject_1 Test 3 2 similar different fish zem 1 1 eliz-3/1-01 M 4y8m
subject_1 Test 4 1 different similar tree aka 1 0 eliz-3/1-01 M 4y8m
subject_1 Test 4 1 different similar tree aka 1 1 eliz-3/1-01 M 4y8m
subject_1 Test 4 1 different similar tree aka 1 1 eliz-3/1-01 M 4y8m
subject_1 Test 4 1 different similar tree aka 1 0 eliz-3/1-01 M 4y8m
subject_1 Test 4 2 different similar tree aka 0 1 eliz-3/1-01 M 4y8m
subject_1 Test 4 2 different similar tree aka 1 0 eliz-3/1-01 M 4y8m
subject_1 Test 4 2 different similar tree aka 1 0 eliz-3/1-01 M 4y8m
subject_1 Test 4 2 different similar tree aka 0 1 eliz-3/1-01 M 4y8m
subject_2 Test_pre joint NA NA NA NA NA 1 NA eliz-3/1-02 F 4y7m
subject_2 Test_pre joint NA NA NA NA NA 0 NA eliz-3/1-02 F 4y7m
subject_2 Test_pre joint NA NA NA NA NA 0 NA eliz-3/1-02 F 4y7m
subject_2 Test_pre joint NA NA NA NA NA 0 NA eliz-3/1-02 F 4y7m
subject_2 Test 0 1 different different tree zem 1 0 eliz-3/1-02 F 4y7m
subject_2 Test 0 1 different different tree zem 0 1 eliz-3/1-02 F 4y7m
subject_2 Test 0 1 different different tree zem 1 0 eliz-3/1-02 F 4y7m
subject_2 Test 0 1 different different tree zem 0 1 eliz-3/1-02 F 4y7m
subject_2 Test 0 2 different different tree zem 1 1 eliz-3/1-02 F 4y7m
subject_2 Test 0 2 different different tree zem 1 1 eliz-3/1-02 F 4y7m
subject_2 Test 0 2 different different tree zem 0 0 eliz-3/1-02 F 4y7m
subject_2 Test 0 2 different different tree zem 0 0 eliz-3/1-02 F 4y7m
subject_2 Test 1 1 similar similar bird aka 0 1 eliz-3/1-02 F 4y7m
subject_2 Test 1 1 similar similar bird aka 1 1 eliz-3/1-02 F 4y7m
subject_2 Test 1 1 similar similar bird aka 0 0 eliz-3/1-02 F 4y7m
subject_2 Test 1 1 similar similar bird aka 1 0 eliz-3/1-02 F 4y7m
subject_2 Test 1 2 similar similar bird aka 0 1 eliz-3/1-02 F 4y7m
subject_2 Test 1 2 similar similar bird aka 0 0 eliz-3/1-02 F 4y7m
subject_2 Test 1 2 similar similar bird aka 0 1 eliz-3/1-02 F 4y7m
subject_2 Test 1 2 similar similar bird aka 0 0 eliz-3/1-02 F 4y7m
subject_2 Test 2 1 catch catch flower nak 1 0 eliz-3/1-02 F 4y7m
subject_2 Test 2 1 catch catch flower nak 1 0 eliz-3/1-02 F 4y7m
subject_2 Test 2 1 catch catch flower nak 1 0 eliz-3/1-02 F 4y7m
subject_2 Test 2 1 catch catch flower nak 1 0 eliz-3/1-02 F 4y7m
subject_2 Test 2 2 catch catch flower nak 0 0 eliz-3/1-02 F 4y7m
subject_2 Test 2 2 catch catch flower nak 0 0 eliz-3/1-02 F 4y7m
subject_2 Test 2 2 catch catch flower nak 0 0 eliz-3/1-02 F 4y7m
subject_2 Test 2 2 catch catch flower nak 0 0 eliz-3/1-02 F 4y7m
subject_2 Test 3 1 different similar fish neem 1 1 eliz-3/1-02 F 4y7m
subject_2 Test 3 1 different similar fish neem 0 0 eliz-3/1-02 F 4y7m
subject_2 Test 3 1 different similar fish neem 0 0 eliz-3/1-02 F 4y7m
subject_2 Test 3 1 different similar fish neem 0 1 eliz-3/1-02 F 4y7m
subject_2 Test 3 2 different similar fish neem 1 1 eliz-3/1-02 F 4y7m
subject_2 Test 3 2 different similar fish neem 1 1 eliz-3/1-02 F 4y7m
subject_2 Test 3 2 different similar fish neem 0 1 eliz-3/1-02 F 4y7m
subject_2 Test 3 2 different similar fish neem 1 1 eliz-3/1-02 F 4y7m
subject_2 Test 4 1 similar different bug aba 1 1 eliz-3/1-02 F 4y7m
subject_2 Test 4 1 similar different bug aba 1 0 eliz-3/1-02 F 4y7m
subject_2 Test 4 1 similar different bug aba 0 1 eliz-3/1-02 F 4y7m
subject_2 Test 4 1 similar different bug aba 0 0 eliz-3/1-02 F 4y7m
subject_2 Test 4 2 similar different bug aba 0 0 eliz-3/1-02 F 4y7m
subject_2 Test 4 2 similar different bug aba 1 0 eliz-3/1-02 F 4y7m
subject_2 Test 4 2 similar different bug aba 0 0 eliz-3/1-02 F 4y7m
subject_2 Test 4 2 similar different bug aba 1 0 eliz-3/1-02 F 4y7m
subject_3 Test_pre joint NA NA NA NA NA 0 NA soph-3/1-1 M 4y7m
subject_3 Test_pre joint NA NA NA NA NA 0 NA soph-3/1-1 M 4y7m
subject_3 Test_pre joint NA NA NA NA NA 0 NA soph-3/1-1 M 4y7m
subject_3 Test_pre joint NA NA NA NA NA 0 NA soph-3/1-1 M 4y7m
subject_3 Test 0 1 different different bird neem 0 0 soph-3/1-1 M 4y7m
subject_3 Test 0 1 different different bird neem 0 0 soph-3/1-1 M 4y7m
subject_3 Test 0 1 different different bird neem 0 0 soph-3/1-1 M 4y7m
subject_3 Test 0 1 different different bird neem 0 0 soph-3/1-1 M 4y7m
subject_3 Test 0 2 different different bird neem 0 1 soph-3/1-1 M 4y7m
subject_3 Test 0 2 different different bird neem 0 0 soph-3/1-1 M 4y7m
subject_3 Test 0 2 different different bird neem 0 0 soph-3/1-1 M 4y7m
subject_3 Test 0 2 different different bird neem 0 1 soph-3/1-1 M 4y7m
subject_3 Test 1 1 similar similar fish aba 0 0 soph-3/1-1 M 4y7m
subject_3 Test 1 1 similar similar fish aba 0 1 soph-3/1-1 M 4y7m
subject_3 Test 1 1 similar similar fish aba 0 0 soph-3/1-1 M 4y7m
subject_3 Test 1 1 similar similar fish aba 0 1 soph-3/1-1 M 4y7m
subject_3 Test 1 2 similar similar fish aba 0 1 soph-3/1-1 M 4y7m
subject_3 Test 1 2 similar similar fish aba 1 0 soph-3/1-1 M 4y7m
subject_3 Test 1 2 similar similar fish aba 0 0 soph-3/1-1 M 4y7m
subject_3 Test 1 2 similar similar fish aba 1 1 soph-3/1-1 M 4y7m
subject_3 Test 2 1 catch catch flower nak 0 0 soph-3/1-1 M 4y7m
subject_3 Test 2 1 catch catch flower nak 1 1 soph-3/1-1 M 4y7m
subject_3 Test 2 1 catch catch flower nak 0 0 soph-3/1-1 M 4y7m
subject_3 Test 2 1 catch catch flower nak 1 1 soph-3/1-1 M 4y7m
subject_3 Test 2 2 catch catch flower nak 0 0 soph-3/1-1 M 4y7m
subject_3 Test 2 2 catch catch flower nak 1 0 soph-3/1-1 M 4y7m
subject_3 Test 2 2 catch catch flower nak 1 0 soph-3/1-1 M 4y7m
subject_3 Test 2 2 catch catch flower nak 1 0 soph-3/1-1 M 4y7m
subject_3 Test 3 1 similar different bug zem 0 0 soph-3/1-1 M 4y7m
subject_3 Test 3 1 similar different bug zem 0 0 soph-3/1-1 M 4y7m
subject_3 Test 3 1 similar different bug zem 0 0 soph-3/1-1 M 4y7m
subject_3 Test 3 1 similar different bug zem 0 0 soph-3/1-1 M 4y7m
subject_3 Test 3 2 similar different bug zem 0 1 soph-3/1-1 M 4y7m
subject_3 Test 3 2 similar different bug zem 0 1 soph-3/1-1 M 4y7m
subject_3 Test 3 2 similar different bug zem 1 0 soph-3/1-1 M 4y7m
subject_3 Test 3 2 similar different bug zem 1 0 soph-3/1-1 M 4y7m
subject_3 Test 4 1 different similar tree aka 0 0 soph-3/1-1 M 4y7m
subject_3 Test 4 1 different similar tree aka 0 0 soph-3/1-1 M 4y7m
subject_3 Test 4 1 different similar tree aka 0 0 soph-3/1-1 M 4y7m
subject_3 Test 4 1 different similar tree aka 0 0 soph-3/1-1 M 4y7m
subject_3 Test 4 2 different similar tree aka 0 1 soph-3/1-1 M 4y7m
subject_3 Test 4 2 different similar tree aka 0 1 soph-3/1-1 M 4y7m
subject_3 Test 4 2 different similar tree aka 0 1 soph-3/1-1 M 4y7m
subject_3 Test 4 2 different similar tree aka 0 1 soph-3/1-1 M 4y7m
subject_4 Test_pre joint NA NA NA NA NA 0 NA soph-3/1-2 F 4y8m
subject_4 Test_pre joint NA NA NA NA NA 0 NA soph-3/1-2 F 4y8m
subject_4 Test_pre joint NA NA NA NA NA 0 NA soph-3/1-2 F 4y8m
subject_4 Test_pre joint NA NA NA NA NA 0 NA soph-3/1-2 F 4y8m
subject_4 Test 0 1 similar similar bird aka 0 1 soph-3/1-2 F 4y8m
subject_4 Test 0 1 similar similar bird aka 1 0 soph-3/1-2 F 4y8m
subject_4 Test 0 1 similar similar bird aka 0 0 soph-3/1-2 F 4y8m
subject_4 Test 0 1 similar similar bird aka 1 1 soph-3/1-2 F 4y8m
subject_4 Test 0 2 similar similar bird aka 1 1 soph-3/1-2 F 4y8m
subject_4 Test 0 2 similar similar bird aka 0 0 soph-3/1-2 F 4y8m
subject_4 Test 0 2 similar similar bird aka 1 1 soph-3/1-2 F 4y8m
subject_4 Test 0 2 similar similar bird aka 1 0 soph-3/1-2 F 4y8m
subject_4 Test 1 1 different different bug zem 0 0 soph-3/1-2 F 4y8m
subject_4 Test 1 1 different different bug zem 1 1 soph-3/1-2 F 4y8m
subject_4 Test 1 1 different different bug zem 0 0 soph-3/1-2 F 4y8m
subject_4 Test 1 1 different different bug zem 1 1 soph-3/1-2 F 4y8m
subject_4 Test 1 2 different different bug zem 0 0 soph-3/1-2 F 4y8m
subject_4 Test 1 2 different different bug zem 1 1 soph-3/1-2 F 4y8m
subject_4 Test 1 2 different different bug zem 0 0 soph-3/1-2 F 4y8m
subject_4 Test 1 2 different different bug zem 1 1 soph-3/1-2 F 4y8m
subject_4 Test 2 1 catch catch flower nak 0 1 soph-3/1-2 F 4y8m
subject_4 Test 2 1 catch catch flower nak 1 0 soph-3/1-2 F 4y8m
subject_4 Test 2 1 catch catch flower nak 0 1 soph-3/1-2 F 4y8m
subject_4 Test 2 1 catch catch flower nak 1 0 soph-3/1-2 F 4y8m
subject_4 Test 2 2 catch catch flower nak 0 0 soph-3/1-2 F 4y8m
subject_4 Test 2 2 catch catch flower nak 1 0 soph-3/1-2 F 4y8m
subject_4 Test 2 2 catch catch flower nak 0 0 soph-3/1-2 F 4y8m
subject_4 Test 2 2 catch catch flower nak 1 0 soph-3/1-2 F 4y8m
subject_4 Test 3 1 similar different fish aba 0 0 soph-3/1-2 F 4y8m
subject_4 Test 3 1 similar different fish aba 1 0 soph-3/1-2 F 4y8m
subject_4 Test 3 1 similar different fish aba 0 0 soph-3/1-2 F 4y8m
subject_4 Test 3 1 similar different fish aba 1 0 soph-3/1-2 F 4y8m
subject_4 Test 3 2 similar different fish aba 0 0 soph-3/1-2 F 4y8m
subject_4 Test 3 2 similar different fish aba 1 1 soph-3/1-2 F 4y8m
subject_4 Test 3 2 similar different fish aba 0 0 soph-3/1-2 F 4y8m
subject_4 Test 3 2 similar different fish aba 1 1 soph-3/1-2 F 4y8m
subject_4 Test 4 1 different similar tree neem 0 0 soph-3/1-2 F 4y8m
subject_4 Test 4 1 different similar tree neem 1 1 soph-3/1-2 F 4y8m
subject_4 Test 4 1 different similar tree neem 0 0 soph-3/1-2 F 4y8m
subject_4 Test 4 1 different similar tree neem 1 1 soph-3/1-2 F 4y8m
subject_4 Test 4 2 different similar tree neem 0 1 soph-3/1-2 F 4y8m
subject_4 Test 4 2 different similar tree neem 1 1 soph-3/1-2 F 4y8m
subject_4 Test 4 2 different similar tree neem 0 0 soph-3/1-2 F 4y8m
subject_4 Test 4 2 different similar tree neem 1 0 soph-3/1-2 F 4y8m
subject_5 Test_pre joint NA NA NA NA NA 0 NA soph-3/1-3 F 4y4m
subject_5 Test_pre joint NA NA NA NA NA 1 NA soph-3/1-3 F 4y4m
subject_5 Test_pre joint NA NA NA NA NA 1 NA soph-3/1-3 F 4y4m
subject_5 Test_pre joint NA NA NA NA NA 0 NA soph-3/1-3 F 4y4m
subject_5 Test 0 1 similar different bug aba 0 1 soph-3/1-3 F 4y4m
subject_5 Test 0 1 similar different bug aba 1 0 soph-3/1-3 F 4y4m
subject_5 Test 0 1 similar different bug aba 1 0 soph-3/1-3 F 4y4m
subject_5 Test 0 1 similar different bug aba 1 1 soph-3/1-3 F 4y4m
subject_5 Test 0 2 similar different bug aba 0 0 soph-3/1-3 F 4y4m
subject_5 Test 0 2 similar different bug aba 1 0 soph-3/1-3 F 4y4m
subject_5 Test 0 2 similar different bug aba 0 1 soph-3/1-3 F 4y4m
subject_5 Test 0 2 similar different bug aba 0 1 soph-3/1-3 F 4y4m
subject_5 Test 1 1 different similar fish neem 0 1 soph-3/1-3 F 4y4m
subject_5 Test 1 1 different similar fish neem 1 1 soph-3/1-3 F 4y4m
subject_5 Test 1 1 different similar fish neem 0 0 soph-3/1-3 F 4y4m
subject_5 Test 1 1 different similar fish neem 0 0 soph-3/1-3 F 4y4m
subject_5 Test 1 2 different similar fish neem 0 1 soph-3/1-3 F 4y4m
subject_5 Test 1 2 different similar fish neem 1 0 soph-3/1-3 F 4y4m
subject_5 Test 1 2 different similar fish neem 0 1 soph-3/1-3 F 4y4m
subject_5 Test 1 2 different similar fish neem 1 0 soph-3/1-3 F 4y4m
subject_5 Test 2 1 catch catch flower nak 1 1 soph-3/1-3 F 4y4m
subject_5 Test 2 1 catch catch flower nak 1 1 soph-3/1-3 F 4y4m
subject_5 Test 2 1 catch catch flower nak 1 1 soph-3/1-3 F 4y4m
subject_5 Test 2 1 catch catch flower nak 0 1 soph-3/1-3 F 4y4m
subject_5 Test 2 2 catch catch flower nak 0 0 soph-3/1-3 F 4y4m
subject_5 Test 2 2 catch catch flower nak 1 1 soph-3/1-3 F 4y4m
subject_5 Test 2 2 catch catch flower nak 0 0 soph-3/1-3 F 4y4m
subject_5 Test 2 2 catch catch flower nak 0 1 soph-3/1-3 F 4y4m
subject_5 Test 3 1 different different bird aka 0 0 soph-3/1-3 F 4y4m
subject_5 Test 3 1 different different bird aka 0 1 soph-3/1-3 F 4y4m
subject_5 Test 3 1 different different bird aka 1 1 soph-3/1-3 F 4y4m
subject_5 Test 3 1 different different bird aka 1 0 soph-3/1-3 F 4y4m
subject_5 Test 3 2 different different bird aka 0 0 soph-3/1-3 F 4y4m
subject_5 Test 3 2 different different bird aka 0 0 soph-3/1-3 F 4y4m
subject_5 Test 3 2 different different bird aka 1 0 soph-3/1-3 F 4y4m
subject_5 Test 3 2 different different bird aka 1 0 soph-3/1-3 F 4y4m
subject_5 Test 4 1 similar similar tree zem 0 0 soph-3/1-3 F 4y4m
subject_5 Test 4 1 similar similar tree zem 1 1 soph-3/1-3 F 4y4m
subject_5 Test 4 1 similar similar tree zem 0 0 soph-3/1-3 F 4y4m
subject_5 Test 4 1 similar similar tree zem 0 1 soph-3/1-3 F 4y4m
subject_5 Test 4 2 similar similar tree zem 1 0 soph-3/1-3 F 4y4m
subject_5 Test 4 2 similar similar tree zem 1 0 soph-3/1-3 F 4y4m
subject_5 Test 4 2 similar similar tree zem 0 0 soph-3/1-3 F 4y4m
subject_5 Test 4 2 similar similar tree zem 0 0 soph-3/1-3 F 4y4m
subject_6 Test_pre joint NA NA NA NA NA 1 NA eliz-3/6-01 F 4y7m
subject_6 Test_pre joint NA NA NA NA NA 1 NA eliz-3/6-01 F 4y7m
subject_6 Test_pre joint NA NA NA NA NA 0 NA eliz-3/6-01 F 4y7m
subject_6 Test_pre joint NA NA NA NA NA 1 NA eliz-3/6-01 F 4y7m
subject_6 Test 0 1 different different tree zem 1 0 eliz-3/6-01 F 4y7m
subject_6 Test 0 1 different different tree zem 0 1 eliz-3/6-01 F 4y7m
subject_6 Test 0 1 different different tree zem 0 0 eliz-3/6-01 F 4y7m
subject_6 Test 0 1 different different tree zem 0 1 eliz-3/6-01 F 4y7m
subject_6 Test 0 2 different different tree zem 1 0 eliz-3/6-01 F 4y7m
subject_6 Test 0 2 different different tree zem 0 0 eliz-3/6-01 F 4y7m
subject_6 Test 0 2 different different tree zem 1 1 eliz-3/6-01 F 4y7m
subject_6 Test 0 2 different different tree zem 1 1 eliz-3/6-01 F 4y7m
subject_6 Test 1 1 similar similar bird aba 1 1 eliz-3/6-01 F 4y7m
subject_6 Test 1 1 similar similar bird aba 0 1 eliz-3/6-01 F 4y7m
subject_6 Test 1 1 similar similar bird aba 0 0 eliz-3/6-01 F 4y7m
subject_6 Test 1 1 similar similar bird aba 1 0 eliz-3/6-01 F 4y7m
subject_6 Test 1 2 similar similar bird aba 0 1 eliz-3/6-01 F 4y7m
subject_6 Test 1 2 similar similar bird aba 1 1 eliz-3/6-01 F 4y7m
subject_6 Test 1 2 similar similar bird aba 0 1 eliz-3/6-01 F 4y7m
subject_6 Test 1 2 similar similar bird aba 1 1 eliz-3/6-01 F 4y7m
subject_6 Test 2 1 catch catch flower nak 0 0 eliz-3/6-01 F 4y7m
subject_6 Test 2 1 catch catch flower nak 0 0 eliz-3/6-01 F 4y7m
subject_6 Test 2 1 catch catch flower nak 0 1 eliz-3/6-01 F 4y7m
subject_6 Test 2 1 catch catch flower nak 0 1 eliz-3/6-01 F 4y7m
subject_6 Test 2 2 catch catch flower nak 1 0 eliz-3/6-01 F 4y7m
subject_6 Test 2 2 catch catch flower nak 1 0 eliz-3/6-01 F 4y7m
subject_6 Test 2 2 catch catch flower nak 1 1 eliz-3/6-01 F 4y7m
subject_6 Test 2 2 catch catch flower nak 0 1 eliz-3/6-01 F 4y7m
subject_6 Test 3 1 similar different fish neem 1 1 eliz-3/6-01 F 4y7m
subject_6 Test 3 1 similar different fish neem 0 0 eliz-3/6-01 F 4y7m
subject_6 Test 3 1 similar different fish neem 0 0 eliz-3/6-01 F 4y7m
subject_6 Test 3 1 similar different fish neem 0 1 eliz-3/6-01 F 4y7m
